"iso_year","iso_week","growth_q_elec","growth_q_flights","growth_q_nedar","growth_q_ind","growth_q_no2","growth_q_omx","growth_q_ret","growth_q_ships","growth_q_unemp_in","growth_q_unemp_out","Pct_change_GDP"
2017,22,2.78934537841613,NA,8.34503597563829,-3.01214051141407,-7.00959903750296,2.22558138391831,-0.305476999495708,2.23849601013319,0.160007678293471,-8.39574117392142,NA
2017,23,2.41698410221507,NA,14.9890303860455,NA,-8.16831893270904,2.58036889482585,NA,0.814861025508047,0.44041846416777,-9.62998281830533,NA
2017,24,2.1654091313112,NA,23.1665216130736,NA,-7.88037036610383,2.94161195156374,NA,2.2148340844404,0.17258459968049,-10.2470024387801,NA
2017,25,2.2360212142498,NA,28.4001119424634,NA,-8.77180015392735,3.2130964147008,NA,1.37698671666476,0.0467923529949395,-4.65146892440873,NA
2017,26,2.32225227701198,NA,34.0874885587619,-0.178651231079749,-10.4432223497847,3.5787998236802,-0.218293035821599,0.338236446141883,0.481884047797605,-1.79196512443178,0.8
2017,27,2.50987214803922,NA,38.7467917317358,NA,-8.81966429879632,4.11547005914381,NA,1.96353112424988,1.97038892227991,-1.67125129617304,NA
2017,28,2.09480537493585,NA,40.0830521963725,NA,-5.20091377879291,4.63749473633062,NA,3.24502042775134,2.82849015180661,1.22239304511251,NA
2017,29,1.01015420677398,NA,28.7535954698209,NA,-2.74886445835544,5.01473219345185,NA,1.88628406552184,1.96528588273503,1.63147842044974,NA
2017,30,-0.0915174014636999,NA,28.3720404286868,NA,-2.38551324529074,5.35846783269278,NA,2.11032316285926,2.12828618505843,2.54317196618171,NA
2017,31,-0.319369280447325,NA,36.2753500065413,3.34181241652845,-3.88792586480689,5.73875741771409,-0.0874125929785499,2.6523681597153,2.01122209321659,4.3245084406632,NA
2017,32,-0.357565990545621,NA,39.577478510512,NA,-3.22223936843862,6.16637437308805,NA,0.651148387556,1.86707557151551,5.97254442746383,NA
2017,33,-0.19894495589596,NA,39.9136657325933,NA,-6.88714728603938,6.66737261019784,NA,-0.169167753067506,2.43812721920247,6.70254050284536,NA
2017,34,-0.313865736982913,NA,39.0255041704703,NA,-8.89935869170205,7.20247194349651,NA,0.462240990013845,3.11046255931256,7.52635520702816,NA
2017,35,-0.476144147312861,NA,34.2140324594794,5.02886822203151,-6.64791267227988,7.63741084026707,-0.0437158476907357,0.255838566171987,3.95310589605145,7.25579091256254,NA
2017,36,-0.114766562614772,NA,22.8153554587974,NA,-8.42031995904637,7.92941683619566,NA,1.85648725057689,3.89121009359182,8.583784321271,NA
2017,37,0.377746725652383,NA,9.06808476735405,NA,-5.90794956900113,8.12629449473378,NA,1.36762356903768,4.5824427922724,10.3705857908259,NA
2017,38,0.570130876997719,NA,3.95993985463454,NA,-3.79817890407224,8.39418655602711,NA,3.62198777168686,6.09078943194666,10.0351260108739,NA
2017,39,0.591764356299286,NA,-5.61497310633044,3.4274005030205,-0.989980906653556,8.52639663528335,0.479617226349323,5.25863061411833,8.62720121810356,12.3829213540319,0.9
2017,40,1.041216994544,NA,-7.99919444077232,NA,-1.41099393295208,8.55761669377507,NA,4.08474394932187,5.4245511781946,13.0221145057855,NA
2017,41,1.63400962282129,NA,-12.7739653858072,NA,-3.60335248004399,8.43243155906592,NA,1.97635452222948,4.44063326983484,11.8438815373645,NA
2017,42,2.36979641445723,NA,-11.9486174571275,NA,-3.72928302436306,8.35194758273185,NA,3.75687941991359,4.30145500515084,12.2517341813722,NA
2017,43,3.43093772207719,NA,-14.4460679225609,NA,-3.11746689133271,8.2199615517203,NA,3.72459578534184,4.37129452918957,12.6318518903064,NA
2017,44,3.72682900729206,NA,-30.2336461435089,1.60838068335108,-0.505597244212809,8.02001760885262,1.04394162515996,4.13870435218117,5.15408863769635,11.2218021863758,NA
2017,45,3.87037849311172,NA,-38.7071067930647,NA,0.518513688166231,7.49599610465946,NA,5.4230876018083,6.17528035694892,9.5055441161904,NA
2017,46,3.61900212448652,NA,-41.7871292281108,NA,4.04582505055977,6.80604011036242,NA,6.13763096178926,6.16660117554663,8.79629090466793,NA
2017,47,3.56594239448736,NA,-44.8370872568752,NA,7.03594130958933,6.01460584877618,NA,4.9808298088881,6.70305384901187,7.8136719436723,NA
2017,48,3.13464476338424,NA,-44.8810198879917,1.46491202162321,6.17081865028814,5.23509891502882,1.9056445012976,6.10731792422003,6.02754332751364,8.11452536406774,NA
2017,49,2.20995178749903,NA,-40.6858743211216,NA,12.4432519796187,4.68460192944844,NA,3.88855729690475,6.05033092872937,8.23896338750732,NA
2017,50,1.03401797603474,NA,-37.6263653221592,NA,12.6398956175093,4.18210311411532,NA,4.17961557693005,5.6914136350134,6.74315093489277,NA
2017,51,0.287607892953331,NA,-40.757797606828,NA,14.7931785478089,3.58047993991662,NA,2.09717700993712,4.82316067562867,5.58855611576223,NA
2017,52,-0.380050312654301,NA,-37.4239247416767,1.71310399301836,12.6161865760463,3.13461805374922,2.57635546444935,2.41122272954839,2.90397854681359,2.43554389356135,1.5
2018,1,-1.41566447954555,NA,-35.8964979483812,NA,14.357831477883,2.80497013699528,NA,3.02049967893055,6.54710149748733,1.78096158942972,NA
2018,2,-2.15586745474915,NA,-34.4724030874343,NA,18.2524323272999,2.62460670073573,NA,5.06245977597253,7.61532704040226,1.84881604887476,NA
2018,3,-2.41189541909753,NA,-31.2709992658442,NA,19.4991213156375,2.31766872374384,NA,3.46828749796784,8.20828371291472,1.5623933330807,NA
2018,4,-2.99882783996887,NA,-27.9596055585341,NA,18.8538995751163,2.05094812776766,NA,4.85002992154113,8.4082892654963,0.302236761734756,NA
2018,5,-3.35954623562167,NA,-16.7936372080233,3.47492589657217,18.9213319261641,1.91539142417303,3.2775864238112,4.21890710920723,7.00284876553283,1.01024740869749,NA
2018,6,-3.45781553013395,NA,-8.57651204614315,NA,18.848192701913,1.76267514815873,NA,4.53567783299403,5.46324679950593,1.93984585664373,NA
2018,7,-3.3396136704261,NA,-5.62771009377545,NA,17.3125414474305,1.76562467856279,NA,3.07468920304341,4.90507608556066,0.858238684467959,NA
2018,8,-2.74494039134602,NA,-2.48022395312979,NA,18.3914612801715,1.84983673247694,NA,4.74452961398374,4.15348513349146,0.75824756196483,NA
2018,9,-1.16248178443908,NA,-0.328743695295658,2.15790052937959,22.0833333728659,2.03237004705412,2.62504488726162,2.17191077022929,3.71817974220265,0.131305386633642,NA
2018,10,0.294102375226104,NA,3.03135862028562,NA,19.0888760406331,2.13226646828562,NA,3.09720667640994,3.45403739032455,-0.110358806897425,NA
2018,11,1.84470990722816,NA,9.96598741337981,NA,17.1604913864322,2.34586577962922,NA,2.7497076446164,2.83268559080614,-0.870112805508968,NA
2018,12,2.82742743259519,NA,20.5462380137834,NA,14.2654586130711,2.74571060350745,NA,2.41923631813582,2.38345393842807,0.657427920255518,NA
2018,13,3.88957261794187,NA,23.330286033871,1.72599527848218,14.8227919553388,3.1392987644937,2.0143358375397,1.00929846752315,1.44220669508122,2.5784353779799,1.3
2018,14,4.91997527260247,NA,23.3342463836739,NA,14.0960292883169,3.41382975918899,NA,-0.64211172263519,-3.37736825813779,2.63834134017224,NA
2018,15,5.08810621620623,NA,25.0008889903048,NA,11.1826102641594,3.58139121991847,NA,-2.34916140299505,-5.77175998629988,2.68197236546375,NA
2018,16,4.7990540621633,NA,25.9158901811246,NA,8.66533113983265,3.89059059363794,NA,-1.04685180844768,-6.79535493010505,2.74550582432542,NA
2018,17,4.74605272711368,NA,32.9254083367911,NA,8.17987805427155,4.0875682309381,NA,-1.76649504602434,-8.21968754716085,3.33406498535402,NA
2018,18,5.0815175134226,NA,32.6126477806186,-3.21652781997967,6.13978508034033,4.02691920258404,0.750942202213135,-2.36899468142993,-7.84266160422303,3.67003878284356,NA
2018,19,5.14464602532514,NA,31.3452281114953,NA,4.75826215926224,4.428467047687,NA,-3.00606128897993,-8.03565270295774,2.71017443345149,NA
2018,20,5.1121006562472,NA,32.3812770198909,NA,3.31188171989635,4.70405051663848,NA,-1.99840017124231,-7.81484583622649,3.3183355956317,NA
2018,21,4.21943653803068,NA,30.2508780591399,NA,-4.5180802028917,4.99613615857412,NA,-2.15348664024648,-8.26770941012481,4.48473126620354,NA
